Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Data Scientist II, Product Analytics",$145K-$163K (Glassdoor est.),"The Opportunity


At Livongo, data is at the heart of our culture of innovation. We're looking for a Data Science analytics team member to collaborate with Product Management and Marketing as we work toward optimizing our UX and messaging.

As a Data Scientist, Product Analytics your main focus will be to measure member experience and guide product decisions, ultimately making Livongo's products more valuable, delightful and intuitive to our Members. We're looking for someone with at least 2 years of experience in Data Analytics. In addition to technical data science skills, core competencies such as collaboration, decision-making, communication and flexibility will be key to your success.

This role offers the challenge and excitement of converting data analysis into real-life benefits. Come help us break new ground, while measurably improving lives and saving millions in healthcare costs.

Responsibilities
Provide insights about our products and member experience to inform Product teams for roadmap and feature decisions
Conduct exploratory analysis and develop statistical models to answer key product usage and engagement questions
Help Product and Marketing teams use experimentation (A/B testing) and cohorting to test assumptions and launch new marketing campaigns, features and product releases
Partner with Product teams to define and benchmark metrics for new features launches and initiatives and help create a culture of measurement
Candidate Profile
2+ years of work experience in product/data analytics or a related discipline
Data science experience (SQL, Python, R) and familiarity with managing large data sets
A general knowledge of machine learning approaches is a plus.
The ability to collaborate and communicate with Product Managers and help them craft hypotheses, and define and measure KPIs
Confidence working with ambiguity, unknown variables, and missing context (and the ability to find ways to bridge those gaps when necessary)
A self-starter approach, with strong motivation and drive for excellence
BS degree in Engineering, Computer Science or a related filed in lieu of degree, relevant work experience and/or trade school
Why Join Livongo?


The Transformative Name in Healthcare: The transformative industry forces in Community, Content and Commerce are now household names. As Amazon is to Commerce, Livongo is to Healthcare. With our Applied Health Signals engine, AI+AI, we've transformed how care is delivered.

Our Work Truly Matters: Livongo's proprietary, consumer-first technology is revolutionizing the experience of living with a chronic health condition. Our data-driven digital health engine enables our Members to seamlessly manage multiple health conditions on one empowering platform. We use smart, connected devices, personalized digital guidance, and 24x7x365 access to health professionals to make it easier for people to stay healthier.

Make an Impact: Do you want to accomplish something meaningful? To create results that matter? Livongo's innovative solution produces industry-leading member satisfaction, measurable clinical outcomes and proven healthcare costs savings. Here you can truly improve lives.

The Largest Digital Health IPO in History: We are at a milestone period in our history. On July 25, 2019 we took our company public, in order to elevate and expand the way the industry views us, thus ushering us into a whole new set of mission-critical conversations that will help us accomplish the work still to be done. As we reach new levels of achievement, we accelerate our ability to deliver life-changing services.

Focus on PEOPLE: Livongo has been voted one of the Best Places to Work in healthcare, by Fortune Magazine and Best Place to Work! Talented, passionate individuals make the difference, in this fast-moving, collaborative and inspiring environment.

Diversity and Inclusion: At Livongo we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.

Growth and Innovation: We've already made healthcare history, yet we remain on the threshold of very big things. Leading the industry with our Applied Health Signals category, we have cracked the code to transforming healthcare. Come grow with us and support our mission to make a tangible difference in the lives of our Members.

See photos, watch videos and learn more about Livongo: follow us on Glassdoor.

#LivongoIPO #appliedhealthsignals

As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy (including breastfeeding we have a mother's room in both our offices). In our innovative and inclusive workplace, we prohibit discrimination and harassment of any kind.",4.5,"Livongo
4.5","Mountain View, CA","Mountain View, CA",501 to 1000 employees,2014,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Data Scientist,$145K-$163K (Glassdoor est.),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
R&D Scientist,$145K-$163K (Glassdoor est.),"Since 2001, Hygiena has been on a mission to be the global leader in rapid industrial diagnostic testing. Our world-class team of innovators, leaders, creators and problems solvers has helped Hygiena become the breakaway leader in the markets we serve. In our growing global business, there is always opportunity for talented and passionate individuals to grow with Hygiena.

We are currently recruiting for an R&D Scientist to join our Qualicon Diagnostics team located in Delaware!

In this role the R&D Scientist will be responsible for the development and improvement of rapid methods for microbial detection. Design, develop and help with commercialization of new molecular diagnostic products and implementing new technologies that are essential for Hygiena’s product base.

Responsibilities:
•Design and perform studies and experiments needed to improve current methods, assess and develop alternative methods, assays and technology
•Write protocols, analyze and interpret results
•Communicate results at team meetings

Qualifications:
•Ph.D. in Molecular Biology or a related field
oMinimum of 2 years of lab experience
OR
•Master’s Degree in Molecular Biology or a related field required.
oMinimum of 5 years of lab experience
•Hands-on experience in designing studies and experiments and analysis of failure modes with some supervision
•Knowledge of traditional and rapid microbiological techniques is required
•Experience in molecular biological techniques, including DNA/RNA techniques and PCR, qPCR/real time PCR is required
•Experience in Bioinformatics (Primer/Probe Design, multiple sequence alignments, Design of TaqMan and Scorpion probes) is desirable
•Experience in food microbiology, food safety a plus
•Experience in data analysis, interpretation and presentation of results
•Experience in Microsoft Office (Outlook, Word, Excel, PowerPoint) and Adobe Acrobat required.

Supervisory Responsibilities:
•Train and supervise junior level scientist and new employees as needed

Skills/Abilities:
•Assay Development
•Data analysis and interpretation
•Excellent verbal and written communication,
•Must be able to use discretion and independent judgement.
•Self-disciplined and organized
•Ability to multi-task and handle multiple projects
•Must be able to work in a team environment.
•Must be able to pay close attention to details.
•Must be able to adapt and flex to a changing environment.
•Must be able to lift/carry 20 pounds.

Working Conditions:
•May require occasional travel
•May occasionally work evenings and/or weekends.

Physical Demands:
•This position is considered light work - exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for sedentary work and the employee sits most of the time, the job is rated for light work.
•Required to have close visual acuity to perform an activity such as: viewing a computer screen
•Frequently required to maintaining a static position, talking, hearing, seeing and repetitive motions.

Work Environment:
•The work environment includes both a typical office environment and a laboratory environment, including exposure to Biosafety Level 2 pathogens

Why you’ll want to join our team.
Teamwork as a core value.
At Hygiena, our emphasis on teamwork and cross-functional communication enables us to build stronger bonds within our business.

Be a part of something big.
Hygiena plays a critical role in helping to prevent global health crisis such as foodborne illness, healthcare-associated infections, and other outbreaks.

Giving back to our communities.
Hygiena believes in giving back by supporting local organizations committed to improving the lives of children and youth in our communities.

Apply Now",4.0,"Hygiena
4.0","New Castle, DE","Camarillo, CA",201 to 500 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Ecolab, Eurofin Private Investment Office"
Data Scientist,$145K-$163K (Glassdoor est.),"HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Data Scientist to join our team.

The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.

What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses
Optimize joint development efforts through database use and project design
Create automated reports and dashboard products, in order to display results to internal teams
Develop end-customer segmentation schemes by analyzing customer behavior
Perform ad hoc analyses and deliver recommendations
Develop and implement predictive models like decision tree, regression using R or similar
Communicate results and ideas to key decision makers
Required Skills/Abilities:
Master's Degree in Computer Science, Statistics, Applied Math or related field
Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics
Experience in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with programming languages such as Java / Python (or ""R"")
Experience conducting regression analyses
Understanding of relational databases and data management as well as experience with data aggregation and normalization
Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.)
Ability to approach tasks strategically, while owning and mastering the details
Exceptional problem solving, as well as analytical and strategic thinking skills
Initiative to own projects from start to finish
Strong oral and written communication skills, with ability to work well with people across the company at all levels


Preferred Skills/Abilities:
Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics
Experience conducting analyses and building predictive models using SAS (or similar)
Experience with business intelligence and data visualization tools preferred (like Domo or Tableau)
Physical Requirements:
Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)
HPOne is an Equal Opportunity Employer:

Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.",3.5,"HPOne
3.5","Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1
"Scientist, Pharmacology",$145K-$163K (Glassdoor est.),"Sutro has a unique capability that enables new molecular entities to be designed using a hybrid of synthetic and recombinant technologies to create best in class therapeutics in the oncology and auto-immune disease space. Our portfolio includes antibody-drug conjugates, bispecific antibodies, cytokine derivatives and other novel immuno-stimulatory approaches.

Sutro Biopharma is looking for a talented and energetic team player to help drive preclinical/clinical advancement of our drug portfolios within the Translational Pharmacology and Preclinical Development (TP/PD), Pharmacology group.

Responsibilities


This pharmacology position requires a Scientist/Senior Scientist with at least 2 years industry experience in the preclinical development of cancer immunotherapies. The scientist will be responsible for validating therapeutics that have been engineered to engage a variety of immune effector pathways. Specifically, to develop novel animal models and conduct complex in vivo and ex vivo murine tumor studies with the goal of advancing leads to the clinic. The individual will be expected to have:
Strong background in one or more areas of tumor biology, immunology, oncology, and/or immuno-oncology
Experience with independent design, execution, analysis, and reporting of non-clinical animal pharmacology, pharmacokinetic (PK) and pharmacodynamic (PD) studies
Communicate key scientific data to project teams with clear interpretation of data and proposal of next steps
Qualifications
Ph.D. degree with a minimum of 2 years industry experience evaluating oncology or immuno-oncology drug products in preclinical efficacy models
Independently plan and execute complex anti-tumor efficacy, PK, and PD studies in mice including: cell culture, dosing (IV, SC, IP), tumor measurement, as well as the dissection of organs for subsequent ex vivo analysis
Design flow cytometry (FACS) panels and perform FACS analysis on human and murine cells, tumors, and tissues
Develop novel murine models to investigate combinatorial immuno-therapeutic strategies
Must be highly motivated and work successfully in cross-functional teams by contributing data and ideas
Demonstrated ability to multi-task, troubleshoot, think critically and interpret data
Clear and professional verbal and written communication skills, including maintaining detailed and accurate protocols and lab notebooks
Please submit resume for Req. #2039 to jobs@sutrobio.com. Please visit our website at www.sutrobio.comfor more information. Local candidates, SF Bay Area.

Sutro provides a competitive benefits package that includes a choice of health, dental, and vision insurance, life insurance, flexible spending accounts, 401K plan, PTO, and stock options.

Sutro Biopharma is committed to the diversity of our team and we are committed to Equal Employment Opportunity without regard for race, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity or religion.

Salaries listed on jobsites may not be representative of salary ranges at Sutro Biopharma.

Please be advised, inquiries or resumes from recruiters will not be accepted.",4.3,"Sutro Biopharma
4.3",United States,"South San Francisco, CA",51 to 200 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Scientist,$145K-$163K (Glassdoor est.),"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
Data Scientist / Machine Learning Expert,$145K-$163K (Glassdoor est.),"Posting Title
Data Scientist / Machine Learning Expert

04-Feb-2020

Job ID
288341BR

Job Description
ONE Global Discovery Chemistry Community working across 7 disease areas at the Novartis Institutes for BioMedical Research (NIBR) is seeking a highly talented and motivated Data Scientist to join our Global Discovery Chemistry Department in Cambridge, MA. The successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are committed to improving human health through the discovery of transformative medicines.

We are seeking a unique data scientist with the skills, experience and passion to extract new knowledge and disruptive insights from the large and rich body of data collected by one of the world’s leading pharmaceutical companies. You will be a member of our global Computer-Aided Drug Discovery (CADD) group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. Teamed up with domain experts from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to new medicines.

Your responsibilities include:
•Develop and implement methods for extracting patterns and correlations from both internal and external data sources using machine learning toolkits
•Develop workflows for conducting comparative analysis among Novartis’ diverse data sources as well as generalizing approaches developed in-house or externally.
•Enable open-source solutions for internal use and implement cutting-edge published scientific methods.
•Develop customized machine learning solutions including data querying and knowledge extraction.
•Interact and be part of interdisciplinary project teams to drive effective decision-making by mining and developing predictive models
•Develop new skills in the area of cheminformatics and drug discovery and leverage those to accelerate development of new machine learning algorithms
•Keep ahead of scientific literature and interact with internal and external scientists to integrate novel data science technologies

Minimum requirements
Education:

Advanced degree (M.Sc. or higher) in data science and machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, or related field.

Minimum experience & skills:

•In-depth experience with modern and classical machine learning methods
•Strong statistical foundation with broad knowledge of supervised and unsupervised techniques
•Programming experience (preferred Python, R, C++) preferably in Linux and high-performance computing environments
•Good listener - strong, concise, and consistent written and oral communication
•Talent for communicating stories through data visualizations
•Proven ability to collaborate with others
•A passion for tackling challenging problems and developing creative solutions
•A drive for self-development with a focus on scientific know-how

Additional qualifications that will help in the role:
•Demonstrated impact using machine learning libraries, such as scikit-learn, PyTorch or similar in a cheminformatics context
•Hands on experience with data analysis software such as Spotfire, R-shiny or similar
•Working experience with open-source cheminformatics toolkits such as RDKit
•Working experience with source-code management systems such as Git/github/bitbucket
•Familiar with the foundational concepts in molecular biology, pharmacology or medicine. Working knowledge of medicinal chemistry and drug discovery is a plus

Why consider Novartis?

750 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Job Type
Full Time

Country
USA

Work Location
Cambridge, MA

Functional Area
Research & Development

Division
NIBR

Business Unit
Global Discovery Chemistry

Employment Type
Regular

Company/Legal Entity
NIBRI

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.

Shift Work
No",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Data Analyst I,$145K-$163K (Glassdoor est.),"Who is Cenlar?

You are.

Employee-owners have made Cenlar one of the nation’s largest mortgage subservicers. We have achieved success by empowering people with company ownership, real programs that provide avenues for advancement, and a great atmosphere that makes everyone look forward to the workday. Get your share of our success by considering the opportunity to join our team as a Data Analyst I.

Job Summary:

Responsible for working with large and complex data sets (both internal and external data) to evaluate, recommend, and support the implementation of business strategies. Identifies and compiles data sets using a variety of tools (e.g. SQL, Access) to help predict, improve, and measure the success of key business to business outcomes. Responsible for documenting data requirements, data collection/processing/cleaning, and exploratory data analysis; which may include utilizing statistical models/algorithms and data visualization techniques. Incumbents in this role may often be referred to as Data Scientists.

Responsibilities:
Day-to-day actions are focused on administering defined procedures, analysis and report preparation.
Commands knowledge of data elements across the enterprise and industry – definitions, lineage and usage
Executes creation of tabular operational reports and aggregation reports with medium to high complexity.
Commands intermediate to expert level t-SQL coding proficiency
Performs data mapping for systems integration, data provisioning, and data consumption
Responsible for documenting metadata, data lineage, data definitions and business glossary entries.
Handles basic data transformation tasks such as date and decimal formatting, rounding of numeric values, and conversion of numeric values to percentages.
Has intermediate to expert level SSIS ETL build proficiency
Works with Data stewards to enforce adherence to standards for enhancements and new repositories.
Qualifications:
Experienced professional with relevant and current skills (3-5 years).
Primary focus is on daily deliverable of routine and defined outputs, while at the same time developing knowledge of the broader context in which the work is being performed.
Bachelor’s degree in computer science, finance, mathematics, statistics (or similar) or equivalent work experience
Total Rewards:

Cenlar FSB offers outstanding benefits which may include paid medical/dental/life insurance, 401k, employee ownership, tuition assistance, a supportive work environment, and genuine opportunities for advancement. Cenlar is a Drug Free Workplace and an Equal Employment Opportunity/Affirmative Action Employer -- M/F/D/V/SO.

Visit www.cenlar.com for more details.

Please apply online.",2.6,"Cenlar
2.6","Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1958,Company - Private,-1,-1,$100 to $500 million (USD),-1
Applied Data Scientist and Statistician,$145K-$163K (Glassdoor est.),"Are you a Data Scientist looking for an opportunity to work on a global consumer brand across the entire business? Do you enjoy partnering across business groups to help answer questions and uncover insights? ASICS Digital is currently seeking an Applied Data Scientist and Statistician to join our Analytics team in Boston.

ASICS Digital, Inc. is a division of ASICS based in Boston, Massachusetts. Our goal is to build digital technologies to better connect the ASICS brand to its consumers. We are responsible for the continued development of mobile-fitness solutions such as ASICS Runkeeper and ASICS Studio, global e-commerce platforms, and other digital services that encourage people to move, get fit and stay balanced.
Job Responsibilities
Develop and support machine-learning models (naïve Bayes, random forest, gradient boosting, neural networks, etc.) that personalize and adapt the user experience for ASICS' fitness apps.
Work with software engineers to productionize these models.
Design and analyze digital experiments for our apps and e-commerce platforms, including analysis of heterogeneous treatment effects and use of Bayesian statistics to describe experimental outcomes.
Identify important factors driving customer behavior using techniques such as Markov chains and the Gale-Shapley algorithm.
Develop forecasting and anomaly detection models using additive regression techniques, such as Facebook’s Prophet.
Educate colleagues on key concepts in statistics, data analysis, and experimentation best practices.
Job Requirements
Master’s degree in Data Science, Statistics or a related field and two years in the job offered or two years data analysis experience.
Experience must include two years each of the following:
Analyzing and developing models with data using a data-oriented programming language such as Python or R
Using AWS services such as SageMaker, Comprehend, and S3
Using Google Analytics to monitor and analyze site performance metrics; building reporting and data visualizations in Tableau
Extracting and manipulating data from cloud data warehouses using Snowflake SQL or Google BigQuery
Analyzing and reporting on the results of A/B tests for websites and mobile applications
Using statistics to compare and contrast populations
Developing and presenting analysis reports and training materials to business stakeholders
Setting up targeted marketing campaigns and experiments using a cloud-based campaign management platform such as MessageGears or Iterable.

Experience may be gained concurrently.
ASICS Digital is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or fitness level.",4.4,"ASICS Digital
4.4","Boston, MA","Boston, MA",51 to 200 employees,2008,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist - Contract,$145K-$163K (Glassdoor est.),"We are an ambitious, well-funded startup with plans to change a $1 trillion-dollar global industry. This is no ordinary startup. We have a proven management team that has done it before, done it before together, and done it before in the travel industry. The company is overflowing with fiercely intelligent people who have tons of energy and an upbeat view of the future. We all act like owners and we get a huge kick out doing great work and doing it fast. We like it even more when we come up with a fresh way to solve a problem. Above all, we are devoted to solving customer problems, because that’s at the center of everything we do.
ABOUT YOU
You’re an experienced data scientist with skills honed on internet commerce scale information and comfortable contributing to and improving a production system.
You’re comfortable operating within an agile environment working with cross discipline teams
You’re excited about working in a python production and DS stack and have defendable positions on which tools you choose.
You’ve got proven experience with some combination of scikit-learn, TensorFlow, and PyTorch and have delivered scalable decision systems as part of a team
You believe ML can be a powerful tool when combined with human in the loop domain experts
You’re Intrigued by the challenge of what a machine based travel agent could look like

We’d like to see demonstrated knowledge in one or more of the following areas
Delivering recommendation systems with direct experience tuning models for personalization at consumer internet scale
Implementation and continuous improvement of a pricing system. Background in pricing theory and building market driven pricing system highly desired
Experience with modeling and implementing a loyalty program
Building production level computer vision APIs
ABOUT THE GIG
You will be focussing on building new machine learning services to meet the needs of our internal and external customers
We put the customer first - our goal is to reduce their cognitive load, provide transparent and actionable recommendations and improve the business trip with data and machines. All work you’ll do is in direct support of that data science mission.
You’ll listen directly to customers, identify opportunities and form hypotheses. Build prototypes and test them in production. Iteration and measurement are essential parts of what we do.
Be integral part of a cross-discipline team including product, engineering and UX that’s looking to redefine the travel shopping experience from a data-centric point of view.
Refine and improve a decision system that powers our unit economics. Understand and simulate impact of changes to company wide KPIs.
Help build a data powered narrative that we can repeatedly deliver to our customer at scale and with high fidelity.
Refine and improve our systems that mine large scale travel marketplace data, our consumer purchase behavior and the traveler experience timeline.
ABOUT US
We are positive, passionate, playful, and always pushing to be better. Our team is a hodgepodge of challenge seekers, travel gurus, startup junkies, and data-miners who see the big picture.

YOU WANT TO TALK TO US IF…
· You are motivated by disrupting the norm.
· You have a great sense of humor and take your profession seriously, but not yourself.
· Your entrepreneurial spirit drives your bias for action.
· You are all about constructive feedback - you can dish it out and you can take it.
· You thrive in the frenetic energy of a startup.

Upside Travel is an equal opportunity employer and encourages people of all backgrounds, genders, ethnicities, abilities, and sexual orientations to apply. We are committed to being an inclusive place to work, while maintaining a workforce that represents the communities we serve.",4.1,"Upside Business Travel
4.1","Washington, DC","Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
